Aa,Ad,Ba,Bd,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,length
1,2,2,0,12.5000,47.5000,17.5000,12.5000,5.0000,5.0000,0.0000,0.0000,0.0000,0.0000,40.0000,50.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40
1,2,2,1,26.0000,42.0000,20.0000,10.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,48.0000,18.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50
1,2,2,2,25.0000,39.2857,25.0000,4.7619,5.9524,0.0000,0.0000,0.0000,0.0000,0.0000,29.7619,38.0952,19.0476,7.1429,2.3810,2.3810,0.0000,1.1905,0.0000,0.0000,84
1,2,2,3,40.3846,38.4615,13.4615,5.7692,1.9231,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,38.4615,23.0769,9.6154,1.9231,1.9231,0.0000,0.0000,0.0000,0.0000,52
1,2,3,0,11.6279,46.5116,20.9302,11.6279,4.6512,4.6512,0.0000,0.0000,0.0000,0.0000,39.5349,48.8372,9.3023,2.3256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43
1,2,3,1,28.2609,36.9565,23.9130,8.6957,2.1739,0.0000,0.0000,0.0000,0.0000,0.0000,34.7826,34.7826,21.7391,6.5217,2.1739,0.0000,0.0000,0.0000,0.0000,0.0000,46
1,2,3,2,34.6154,40.3846,17.3077,5.7692,1.9231,0.0000,0.0000,0.0000,0.0000,0.0000,26.9231,34.6154,25.0000,7.6923,3.8462,1.9231,0.0000,0.0000,0.0000,0.0000,52
1,2,3,3,60.0000,30.0000,2.5000,7.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,35.0000,20.0000,10.0000,5.0000,2.5000,2.5000,0.0000,0.0000,0.0000,40
1,3,0,0,17.5000,35.0000,17.5000,25.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,27.5000,17.5000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40
1,3,0,1,23.0769,38.4615,19.2308,9.6154,7.6923,1.9231,0.0000,0.0000,0.0000,0.0000,50.0000,36.5385,11.5385,1.9231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52
1,3,0,2,38.6364,29.5455,18.1818,9.0909,4.5455,0.0000,0.0000,0.0000,0.0000,0.0000,43.1818,36.3636,13.6364,6.8182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44
1,3,0,3,42.5000,20.0000,20.0000,17.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.5000,35.0000,15.0000,2.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40
1,3,1,0,10.2941,30.8824,35.2941,13.2353,2.9412,7.3529,0.0000,0.0000,0.0000,0.0000,38.2353,42.6471,10.2941,7.3529,1.4706,0.0000,0.0000,0.0000,0.0000,0.0000,68
1,3,1,1,15.9091,43.1818,18.1818,20.4545,2.2727,0.0000,0.0000,0.0000,0.0000,0.0000,54.5455,27.2727,15.9091,2.2727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44
1,3,1,2,37.5000,33.3333,18.7500,8.3333,2.0833,0.0000,0.0000,0.0000,0.0000,0.0000,39.5833,29.1667,27.0833,4.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48
1,3,1,3,30.5085,38.9831,20.3390,6.7797,3.3898,0.0000,0.0000,0.0000,0.0000,0.0000,35.5932,32.2034,27.1186,5.0847,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59
1,3,2,0,8.6957,30.4348,30.4348,17.3913,6.5217,6.5217,0.0000,0.0000,0.0000,0.0000,36.9565,50.0000,10.8696,2.1739,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46
1,3,2,1,22.7273,36.3636,18.1818,22.7273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.7273,29.5455,20.4545,2.2727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44
1,3,2,2,29.1667,39.5833,22.9167,4.1667,4.1667,0.0000,0.0000,0.0000,0.0000,0.0000,27.0833,39.5833,25.0000,4.1667,2.0833,2.0833,0.0000,0.0000,0.0000,0.0000,48
1,3,2,3,32.6087,41.3043,17.3913,6.5217,2.1739,0.0000,0.0000,0.0000,0.0000,0.0000,28.2609,34.7826,30.4348,6.5217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46
